,product_category,product_subcategory,brand,assembly_service_requested,payment_method,product_price,shipping_cost,assembly_cost,delivery_window_days,customer_rating,payment_timing,delivery_status
926,Bedroom,Storage,Other,True,Card,1248.89,112.05,178.19,5,3.7,Prepaid,Failed Delivery
810,Outdoor,Patio furniture,Other,False,Card,1148.16,65.35,0.0,7,3.1,Prepaid,On Going
138,Outdoor,Seating,Mid Range,False,Digital Wallet,630.6,0.0,0.0,4,1.7,Prepaid,On Going
1512,Bedroom,Sleeping,Mid Range,True,Bank Transfer,2393.55,142.58,33.15,3,4.8,Prepaid,On Going
1470,Living Room,Seating,Premium,True,Card,1281.92,73.85,261.14,8,1.7,Prepaid,On Going
388,Kitchen,Storage,Affordable,False,Digital Wallet,1114.83,0.0,0.0,4,2.9,Prepaid,Delivered
367,Kitchen,Storage,Other,False,Card,1481.73,80.47,0.0,4,3.6,Prepaid,On Going
101,Living Room,Table,Affordable,True,Digital Wallet,234.18,84.25,102.9,5,3.1,Prepaid,Failed Delivery
1130,Kitchen,Storage,Mid Range,True,Cash,313.98,87.12,30.63,7,4.4,Postpaid,Failed Delivery
1338,Kitchen,Table,Affordable,False,Digital Wallet,2497.02,0.0,0.0,6,2.8,Prepaid,Failed Delivery
835,Living Room,Seating,Premium,False,Digital Wallet,1718.99,78.53,0.0,10,3.1,Prepaid,Delivered
1395,Living Room,Seating,Mid Range,False,Cash,2401.45,0.0,0.0,5,4.0,Postpaid,Failed Delivery
1473,Kitchen,Table,Affordable,False,Digital Wallet,1495.73,90.84,0.0,4,2.8,Prepaid,On Going
618,Outdoor,Patio furniture,Other,True,Digital Wallet,804.88,134.28,39.27,9,3.1,Prepaid,Failed Delivery
568,Dining Room,Seating,Mid Range,True,Card,966.26,0.0,118.23,3,3.8,Prepaid,On Going
1876,Outdoor,Patio furniture,Mid Range,False,Digital Wallet,223.8,25.67,0.0,5,4.4,Prepaid,Failed Delivery
788,Kitchen,Storage,Mid Range,True,Card,2078.58,0.0,108.77,2,3.4,Prepaid,Failed Delivery
1710,Bedroom,Storage,Mid Range,False,Digital Wallet,2030.11,92.81,0.0,2,3.1,Prepaid,Delivered
1582,Kitchen,Table,Premium,False,Card,1235.33,0.0,0.0,5,4.5,Prepaid,Failed Delivery
827,Office,Storage,Premium,True,Digital Wallet,1359.42,0.0,293.95,5,3.1,Prepaid,Failed Delivery
113,Living Room,Table,Affordable,False,Card,1109.11,50.77,0.0,4,4.1,Prepaid,Delivered
220,Office,Storage,Mid Range,False,Digital Wallet,767.61,0.0,0.0,4,3.0,Prepaid,On Going
223,Outdoor,Seating,Mid Range,False,Digital Wallet,1746.81,82.59,0.0,14,2.5,Prepaid,On Going
920,Office,Work,Affordable,False,Digital Wallet,321.67,39.34,0.0,14,5.0,Prepaid,On Going
468,Dining Room,Seating,Mid Range,True,Digital Wallet,1580.3,0.0,44.06,10,3.4,Prepaid,On Going
1739,Kitchen,Table,Affordable,False,Card,636.58,58.97,0.0,8,1.3,Prepaid,On Going
474,Outdoor,Patio furniture,Affordable,False,Digital Wallet,463.25,57.97,0.0,13,2.8,Prepaid,Delivered
1235,Kitchen,Table,Other,True,Digital Wallet,1839.93,57.58,175.63,4,3.5,Prepaid,Delivered
818,Office,Work,Affordable,True,Digital Wallet,1446.28,100.87,224.67,11,4.6,Prepaid,On Going
638,Kitchen,Storage,Mid Range,False,Cash,1437.34,66.5,0.0,13,3.2,Postpaid,Failed Delivery
646,Office,Storage,Affordable,False,Digital Wallet,998.98,65.41,0.0,8,3.9,Prepaid,Failed Delivery
862,Bedroom,Sleeping,Affordable,True,Card,319.8,51.2,146.04,14,4.9,Prepaid,On Going
1656,Outdoor,Patio furniture,Affordable,True,Digital Wallet,1422.26,89.52,70.95,13,4.2,Prepaid,On Going
242,Living Room,Table,Mid Range,False,Digital Wallet,682.72,118.91,0.0,3,4.1,Prepaid,On Going
283,Office,Storage,Affordable,True,Digital Wallet,1407.99,67.37,180.62,12,3.4,Prepaid,Failed Delivery
983,Kitchen,Storage,Mid Range,False,Cash,2361.89,125.45,0.0,14,4.2,Postpaid,On Going
655,Outdoor,Seating,Affordable,False,Bank Transfer,1583.49,110.19,0.0,5,4.9,Prepaid,Failed Delivery
586,Bedroom,Sleeping,Premium,True,Digital Wallet,1584.64,129.51,219.07,2,3.1,Prepaid,On Going
1870,Kitchen,Table,Affordable,True,Card,1164.68,112.53,197.96,5,3.0,Prepaid,Failed Delivery
1805,Dining Room,Seating,Premium,True,Cash,293.09,77.61,43.53,7,3.1,Postpaid,On Going
108,Office,Work,Premium,True,Card,1455.13,85.16,82.84,4,2.4,Prepaid,Delivered
1632,Outdoor,Table,Affordable,True,Digital Wallet,872.45,138.13,187.14,3,1.2,Prepaid,Failed Delivery
1862,Outdoor,Seating,Mid Range,True,Card,175.4,50.67,175.53,3,4.7,Prepaid,Failed Delivery
1307,Bedroom,Sleeping,Affordable,False,Digital Wallet,1854.67,83.74,0.0,6,2.9,Prepaid,Failed Delivery
1172,Outdoor,Table,Affordable,True,Digital Wallet,1029.17,142.13,161.34,2,1.9,Prepaid,On Going
1145,Bedroom,Sleeping,Affordable,False,Digital Wallet,864.41,80.11,0.0,11,3.1,Prepaid,On Going
554,Kitchen,Table,Mid Range,True,Digital Wallet,2037.0,111.15,54.32,14,4.4,Prepaid,Failed Delivery
1757,Kitchen,Storage,Other,False,Cash,1418.86,83.06,0.0,8,3.1,Postpaid,On Going
515,Kitchen,Table,Affordable,False,Digital Wallet,1299.67,132.01,0.0,6,2.7,Prepaid,Failed Delivery
1889,Dining Room,Seating,Affordable,False,Card,1915.87,123.05,0.0,5,1.2,Prepaid,Failed Delivery
1515,Outdoor,Seating,Affordable,False,Cash,1366.24,71.89,0.0,5,1.1,Postpaid,Delivered
729,Bedroom,Sleeping,Affordable,True,Digital Wallet,2700.42,73.44,142.5,7,4.7,Prepaid,Delivered
51,Living Room,Seating,Mid Range,False,Cash,244.58,65.46,0.0,4,4.1,Postpaid,On Going
762,Dining Room,Table,Affordable,True,Card,535.12,84.27,47.67,11,4.2,Prepaid,Failed Delivery
750,Outdoor,Seating,Affordable,True,Digital Wallet,381.42,86.53,91.92,10,3.1,Prepaid,On Going
1231,Living Room,Seating,Other,False,Cash,222.18,26.01,0.0,14,1.3,Postpaid,Failed Delivery
187,Dining Room,Table,Mid Range,True,Digital Wallet,1842.76,0.0,58.23,14,1.5,Prepaid,Failed Delivery
776,Outdoor,Seating,Premium,True,Digital Wallet,476.73,38.65,235.06,4,1.2,Prepaid,On Going
589,Living Room,Seating,Mid Range,False,Digital Wallet,243.25,61.32,0.0,1,1.1,Prepaid,Failed Delivery
1600,Outdoor,Table,Premium,False,Digital Wallet,547.52,64.71,0.0,9,2.0,Prepaid,Failed Delivery
1466,Office,Work,Mid Range,True,Cash,1396.58,70.49,26.96,3,3.1,Postpaid,On Going
261,Living Room,Seating,Affordable,True,Digital Wallet,1608.28,0.0,25.32,3,1.7,Prepaid,Failed Delivery
522,Kitchen,Table,Mid Range,True,Digital Wallet,1750.14,67.54,177.12,9,2.4,Prepaid,On Going
1266,Kitchen,Storage,Mid Range,False,Cash,2132.45,138.67,0.0,6,3.6,Postpaid,Failed Delivery
218,Kitchen,Storage,Mid Range,True,Digital Wallet,527.24,0.0,186.37,1,2.6,Prepaid,Failed Delivery
706,Outdoor,Patio furniture,Affordable,False,Bank Transfer,1786.72,103.29,0.0,11,2.8,Prepaid,Failed Delivery
360,Kitchen,Storage,Premium,True,Card,1370.97,0.0,151.39,2,4.8,Prepaid,Failed Delivery
648,Living Room,Seating,Affordable,False,Bank Transfer,2065.29,93.41,0.0,2,3.1,Prepaid,Failed Delivery
543,Kitchen,Table,Premium,True,Digital Wallet,1007.5,71.32,66.78,2,4.0,Prepaid,Failed Delivery
884,Bedroom,Sleeping,Premium,False,Digital Wallet,752.75,0.0,0.0,5,1.7,Prepaid,On Going
392,Bedroom,Sleeping,Affordable,False,Bank Transfer,1723.5,67.87,0.0,5,3.3,Prepaid,Failed Delivery
1118,Outdoor,Seating,Affordable,False,Digital Wallet,494.2,78.75,0.0,14,2.3,Prepaid,Delivered
1263,Dining Room,Storage,Premium,True,Digital Wallet,1807.3,73.85,76.81,11,2.1,Prepaid,Delivered
370,Living Room,Storage,Mid Range,False,Digital Wallet,1624.89,81.78,0.0,6,2.2,Prepaid,On Going
471,Outdoor,Seating,Other,False,Digital Wallet,1400.33,0.0,0.0,14,3.8,Prepaid,On Going
1046,Dining Room,Storage,Affordable,False,Digital Wallet,1850.97,53.35,0.0,11,1.2,Prepaid,Failed Delivery
1479,Bedroom,Storage,Affordable,False,Digital Wallet,2549.03,121.92,0.0,9,3.6,Prepaid,Failed Delivery
59,Kitchen,Table,Mid Range,False,Digital Wallet,488.35,79.01,0.0,9,3.8,Prepaid,Failed Delivery
1834,Bedroom,Storage,Affordable,False,Digital Wallet,322.01,25.53,0.0,9,4.5,Prepaid,On Going
1421,Kitchen,Storage,Affordable,True,Card,1466.08,106.3,172.39,5,5.0,Prepaid,Failed Delivery
1476,Living Room,Seating,Mid Range,False,Digital Wallet,1761.12,51.48,0.0,9,4.7,Prepaid,Delivered
186,Outdoor,Patio furniture,Premium,True,Bank Transfer,1656.11,130.2,84.02,10,1.3,Prepaid,Failed Delivery
803,Kitchen,Table,Affordable,True,Card,1957.72,0.0,93.1,12,3.2,Prepaid,On Going
1681,Outdoor,Seating,Affordable,False,Bank Transfer,1661.63,73.85,0.0,13,3.3,Prepaid,Delivered
155,Bedroom,Sleeping,Affordable,True,Digital Wallet,1382.96,55.54,65.21,3,3.8,Prepaid,Failed Delivery
1500,Kitchen,Storage,Affordable,False,Cash,2462.94,77.96,0.0,12,4.9,Postpaid,Failed Delivery
1023,Outdoor,Seating,Affordable,False,Card,205.73,81.24,0.0,11,4.3,Prepaid,On Going
998,Dining Room,Storage,Mid Range,True,Cash,1249.92,91.89,88.82,7,3.7,Postpaid,Delivered
914,Dining Room,Storage,Mid Range,False,Digital Wallet,503.13,0.0,0.0,12,4.5,Prepaid,On Going
58,Living Room,Seating,Affordable,True,Card,2157.19,0.0,179.78,6,3.4,Prepaid,Failed Delivery
1329,Kitchen,Storage,Affordable,False,Cash,2255.34,114.74,0.0,13,3.9,Postpaid,Failed Delivery
928,Dining Room,Table,Premium,False,Card,1861.16,0.0,0.0,4,3.0,Prepaid,Delivered
791,Bedroom,Sleeping,Affordable,False,Digital Wallet,2087.95,0.0,0.0,3,4.4,Prepaid,On Going
1415,Living Room,Seating,Affordable,True,Cash,539.99,92.21,146.09,11,4.4,Postpaid,On Going
48,Outdoor,Patio furniture,Mid Range,False,Cash,1469.78,98.82,0.0,7,2.6,Postpaid,Failed Delivery
1350,Kitchen,Table,Mid Range,False,Card,388.95,73.85,0.0,2,3.1,Prepaid,On Going
723,Bedroom,Sleeping,Mid Range,True,Card,211.25,88.22,45.79,3,4.1,Prepaid,Delivered
809,Outdoor,Seating,Affordable,False,Bank Transfer,1034.24,0.0,0.0,11,1.8,Prepaid,Failed Delivery
501,Office,Work,Affordable,False,Digital Wallet,267.15,85.96,0.0,2,3.7,Prepaid,Failed Delivery
1456,Outdoor,Patio furniture,Mid Range,False,Cash,1673.71,0.0,0.0,13,3.7,Postpaid,On Going
1327,Bedroom,Sleeping,Premium,False,Bank Transfer,1486.84,74.19,0.0,10,2.8,Prepaid,On Going
730,Living Room,Table,Mid Range,False,Digital Wallet,1928.73,0.0,0.0,4,2.9,Prepaid,Delivered
703,Outdoor,Table,Premium,False,Card,465.99,86.22,0.0,13,1.9,Prepaid,Delivered
1354,Dining Room,Seating,Premium,True,Card,1341.63,91.8,166.63,4,1.6,Prepaid,On Going
1076,Kitchen,Storage,Affordable,True,Bank Transfer,846.98,0.0,86.34,11,4.6,Prepaid,Failed Delivery
1782,Office,Work,Premium,False,Card,627.61,92.25,0.0,14,1.0,Prepaid,Failed Delivery
509,Office,Work,Affordable,False,Cash,493.93,71.17,0.0,4,4.5,Postpaid,Failed Delivery
1516,Dining Room,Storage,Premium,True,Card,1640.45,111.12,94.66,10,4.4,Prepaid,On Going
1602,Office,Work,Other,True,Card,440.39,42.44,256.57,3,4.6,Prepaid,Failed Delivery
1571,Living Room,Seating,Mid Range,True,Cash,931.13,0.0,127.36,13,2.6,Postpaid,Failed Delivery
318,Dining Room,Table,Affordable,False,Digital Wallet,522.28,0.0,0.0,7,2.3,Prepaid,Failed Delivery
62,Outdoor,Patio furniture,Premium,False,Digital Wallet,1718.95,69.15,0.0,5,4.9,Prepaid,Failed Delivery
1120,Office,Work,Mid Range,False,Digital Wallet,747.22,54.6,0.0,12,3.8,Prepaid,Delivered
644,Kitchen,Table,Premium,False,Digital Wallet,765.01,0.0,0.0,6,4.0,Prepaid,Failed Delivery
1637,Dining Room,Table,Mid Range,True,Bank Transfer,1365.56,138.95,49.92,8,4.8,Prepaid,Failed Delivery
352,Outdoor,Patio furniture,Affordable,False,Cash,791.66,129.68,0.0,12,4.7,Postpaid,Failed Delivery
900,Living Room,Table,Mid Range,False,Card,1526.95,126.22,0.0,14,4.8,Prepaid,On Going
753,Office,Work,Mid Range,True,Card,1398.93,73.85,35.54,1,1.8,Prepaid,On Going
614,Outdoor,Patio furniture,Other,True,Card,1011.74,64.77,184.41,7,4.3,Prepaid,Failed Delivery
527,Living Room,Storage,Premium,True,Bank Transfer,1704.99,127.32,76.0,11,1.7,Prepaid,On Going
1698,Outdoor,Seating,Mid Range,False,Card,1443.75,121.91,0.0,14,3.6,Prepaid,On Going
146,Office,Work,Affordable,False,Bank Transfer,1059.47,54.24,0.0,10,2.1,Prepaid,On Going
1244,Kitchen,Storage,Other,True,Card,1252.28,65.98,196.14,2,3.8,Prepaid,Delivered
530,Bedroom,Sleeping,Affordable,False,Bank Transfer,2132.61,0.0,0.0,11,3.6,Prepaid,Failed Delivery
1836,Bedroom,Storage,Affordable,False,Card,1138.14,60.13,0.0,4,3.7,Prepaid,Failed Delivery
410,Kitchen,Table,Affordable,False,Digital Wallet,2091.22,73.85,0.0,14,1.6,Prepaid,On Going
1198,Bedroom,Storage,Mid Range,True,Card,2765.11,65.59,102.9,7,3.8,Prepaid,Delivered
49,Office,Work,Mid Range,True,Card,1273.52,148.07,238.78,11,3.1,Prepaid,Failed Delivery
919,Office,Work,Affordable,True,Bank Transfer,1277.17,60.27,45.64,3,3.1,Prepaid,Failed Delivery
60,Office,Work,Affordable,True,Digital Wallet,212.14,41.62,166.4,6,3.1,Prepaid,Failed Delivery
1468,Bedroom,Sleeping,Premium,False,Digital Wallet,361.86,75.09,0.0,5,1.2,Prepaid,Failed Delivery
1269,Dining Room,Storage,Other,True,Digital Wallet,824.7,65.95,121.53,4,4.0,Prepaid,On Going
117,Office,Work,Premium,False,Digital Wallet,648.64,0.0,0.0,12,2.3,Prepaid,On Going
1315,Office,Work,Mid Range,True,Digital Wallet,315.21,38.02,110.74,4,2.7,Prepaid,Failed Delivery
1028,Living Room,Seating,Premium,True,Card,1973.77,97.68,133.24,13,1.3,Prepaid,On Going
1052,Outdoor,Patio furniture,Affordable,True,Cash,1084.21,61.63,86.48,3,3.5,Postpaid,On Going
808,Living Room,Seating,Affordable,False,Digital Wallet,786.42,140.37,0.0,8,3.1,Prepaid,Failed Delivery
1383,Living Room,Storage,Mid Range,True,Cash,565.26,139.5,33.35,3,3.3,Postpaid,Failed Delivery
1281,Dining Room,Storage,Mid Range,False,Card,1406.82,72.58,0.0,3,4.6,Prepaid,Failed Delivery
686,Office,Storage,Premium,True,Digital Wallet,1189.52,122.0,75.24,8,3.7,Prepaid,Failed Delivery
149,Office,Storage,Mid Range,True,Cash,1002.38,0.0,43.39,8,4.7,Postpaid,Delivered
533,Outdoor,Patio furniture,Premium,True,Bank Transfer,1655.81,60.33,39.28,5,1.1,Prepaid,On Going
804,Bedroom,Storage,Mid Range,False,Digital Wallet,737.76,0.0,0.0,14,1.3,Prepaid,Failed Delivery
1899,Bedroom,Sleeping,Premium,False,Bank Transfer,2592.95,80.67,0.0,11,2.2,Prepaid,On Going
1164,Bedroom,Storage,Premium,False,Digital Wallet,1803.35,110.38,0.0,12,2.4,Prepaid,Failed Delivery
416,Bedroom,Storage,Premium,False,Bank Transfer,800.42,79.14,0.0,10,2.1,Prepaid,Delivered
1594,Office,Work,Affordable,True,Card,424.91,47.01,175.46,4,3.2,Prepaid,Failed Delivery
681,Outdoor,Seating,Premium,False,Digital Wallet,1794.24,144.78,0.0,14,3.0,Prepaid,Failed Delivery
1003,Office,Storage,Premium,True,Digital Wallet,1155.88,123.34,94.78,10,3.7,Prepaid,Failed Delivery
891,Outdoor,Seating,Premium,False,Digital Wallet,833.19,132.82,0.0,9,2.3,Prepaid,Failed Delivery
886,Dining Room,Seating,Affordable,False,Digital Wallet,477.35,95.65,0.0,8,4.1,Prepaid,Failed Delivery
704,Dining Room,Storage,Premium,True,Bank Transfer,1818.56,70.91,166.64,5,3.0,Prepaid,On Going
